Fecha,inflacion
Sep 2020,4.01000000
Oct 2020,4.09000000
Nov 2020,3.33000000
Dic 2020,3.15000000
Ene 2021,3.54000000
Feb 2021,3.76000000
Mar 2021,4.67000000
Abr 2021,6.08000000
May 2021,5.89000000
Jun 2021,5.88000000
Jul 2021,5.81000000
Ago 2021,5.59000000
Sep 2021,6.00000000
Oct 2021,6.24000000
Nov 2021,7.37000000
Dic 2021,7.36000000
Ene 2022,7.07000000
Feb 2022,7.28000000
Mar 2022,7.45000000
Abr 2022,7.68000000
May 2022,7.65000000
Jun 2022,7.99000000
Jul 2022,8.15000000
Ago 2022,8.70000000
Sep 2022,8.70000000
Oct 2022,8.41000000
Nov 2022,7.80000000
Dic 2022,7.82000000
Ene 2023,7.91000000
Feb 2023,7.62000000
Mar 2023,6.85000000
Abr 2023,6.25000000
May 2023,5.84000000
Jun 2023,5.06000000
Jul 2023,4.79000000
Ago 2023,4.64000000
Sep 2023,4.45000000
Oct 2023,4.26000000
Nov 2023,4.32000000
