Fecha,tiie28
02/01/2020,7.555
03/01/2020,7.5525
06/01/2020,7.5495
07/01/2020,7.5475
08/01/2020,7.545
09/01/2020,7.5425
10/01/2020,7.5425
13/01/2020,7.5402
14/01/2020,7.5381
15/01/2020,7.5375
16/01/2020,7.53
17/01/2020,7.525
20/01/2020,7.53
21/01/2020,7.525
22/01/2020,7.5225
23/01/2020,7.5215
24/01/2020,7.5225
27/01/2020,7.5202
28/01/2020,7.51
29/01/2020,7.5065
30/01/2020,7.5025
31/01/2020,7.5002
04/02/2020,7.4951
05/02/2020,7.4937
06/02/2020,7.4925
07/02/2020,7.4915
10/02/2020,7.4892
11/02/2020,7.4875
12/02/2020,7.4837
13/02/2020,7.4812
14/02/2020,7.45
17/02/2020,7.33
18/02/2020,7.315
19/02/2020,7.31
20/02/2020,7.305
21/02/2020,7.3012
24/02/2020,7.303
25/02/2020,7.3015
26/02/2020,7.3
27/02/2020,7.295
28/02/2020,7.295
02/03/2020,7.2925
03/03/2020,7.2812
04/03/2020,7.265
05/03/2020,7.2525
06/03/2020,7.2412
09/03/2020,7.235
10/03/2020,7.2275
11/03/2020,7.2262
12/03/2020,7.2175
13/03/2020,7.2187
17/03/2020,7.217
18/03/2020,7.21
19/03/2020,7.2075
20/03/2020,7.205
23/03/2020,7.2025
24/03/2020,6.815
25/03/2020,6.785
26/03/2020,6.7675
27/03/2020,6.7587
30/03/2020,6.7487
31/03/2020,6.74
01/04/2020,6.71
02/04/2020,6.7025
03/04/2020,6.7
06/04/2020,6.69
07/04/2020,6.685
08/04/2020,6.6775
13/04/2020,6.6487
14/04/2020,6.6418
15/04/2020,6.6385
16/04/2020,6.6292
17/04/2020,6.6196
20/04/2020,6.6142
21/04/2020,6.6115
22/04/2020,6.607
23/04/2020,6.2725
24/04/2020,6.2662
27/04/2020,6.2645
28/04/2020,6.2607
29/04/2020,6.2592
30/04/2020,6.256
04/05/2020,6.2475
05/05/2020,6.245
06/05/2020,6.2425
07/05/2020,6.241
08/05/2020,6.2395
11/05/2020,6.2357
12/05/2020,6.2315
13/05/2020,6.2277
14/05/2020,6.196
15/05/2020,6.1772
18/05/2020,5.78
19/05/2020,5.7775
20/05/2020,5.7727
21/05/2020,5.7688
22/05/2020,5.7644
25/05/2020,5.7622
26/05/2020,5.755
27/05/2020,5.7525
28/05/2020,5.7482
29/05/2020,5.7441
01/06/2020,5.7395
02/06/2020,5.7347
03/06/2020,5.7325
04/06/2020,5.7286
05/06/2020,5.7229
08/06/2020,5.7089
09/06/2020,5.696
10/06/2020,5.6924
11/06/2020,5.685
12/06/2020,5.681
15/06/2020,5.6765
16/06/2020,5.673
17/06/2020,5.671
18/06/2020,5.6655
19/06/2020,5.661
22/06/2020,5.656
23/06/2020,5.655
24/06/2020,5.6505
25/06/2020,5.6452
26/06/2020,5.6101
29/06/2020,5.2975
30/06/2020,5.2887
01/07/2020,5.2843
02/07/2020,5.2665
03/07/2020,5.26
06/07/2020,5.2562
07/07/2020,5.255
08/07/2020,5.2505
09/07/2020,5.2457
10/07/2020,5.243
13/07/2020,5.2385
14/07/2020,5.2372
15/07/2020,5.235
16/07/2020,5.2305
17/07/2020,5.2292
20/07/2020,5.225
21/07/2020,5.2225
22/07/2020,5.219
23/07/2020,5.2175
24/07/2020,5.2075
27/07/2020,5.204
28/07/2020,5.2042
29/07/2020,5.2
30/07/2020,5.1975
31/07/2020,5.195
03/08/2020,5.1925
04/08/2020,5.1877
05/08/2020,5.184
06/08/2020,5.178
07/08/2020,5.174
10/08/2020,5.1702
11/08/2020,5.1687
12/08/2020,5.1668
13/08/2020,5.1359
14/08/2020,5.1292
17/08/2020,4.8036
18/08/2020,4.797
19/08/2020,4.7935
20/08/2020,4.7895
21/08/2020,4.7875
24/08/2020,4.7845
25/08/2020,4.7792
26/08/2020,4.7775
27/08/2020,4.775
28/08/2020,4.7725
31/08/2020,4.769
01/09/2020,4.7677
02/09/2020,4.764
03/09/2020,4.762
04/09/2020,4.7585
07/09/2020,4.7602
08/09/2020,4.7576
09/09/2020,4.753
10/09/2020,4.7522
11/09/2020,4.7512
14/09/2020,4.7507
15/09/2020,4.746
17/09/2020,4.7422
18/09/2020,4.7415
21/09/2020,4.7367
22/09/2020,4.7335
23/09/2020,4.7325
24/09/2020,4.729
25/09/2020,4.7275
28/09/2020,4.5605
29/09/2020,4.55
30/09/2020,4.5495
01/10/2020,4.5485
02/10/2020,4.5487
05/10/2020,4.5445
